[2021-04-12 07:20:46,805]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2021-04-12 07:31:26,136]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'vishant' {id=1}
[2021-04-12 07:31:26,138]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_create: User "'vishant' {id=1}" was created by "'vishant' {id=1}"
[2021-04-12 07:54:28,602]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'knoldus' {id=2}
[2021-04-12 07:54:28,602]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_create: User "'knoldus' {id=2}" was created by "'knoldus' {id=2}"
[2021-04-12 07:55:14,678]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'knoldus1' {id=3}
[2021-04-12 07:55:14,679]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_create: User "'knoldus1' {id=3}" was created by "'knoldus1' {id=3}"
[2021-04-12 07:55:14,753]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_add_role: User role ""System administrator" {id=SYSTEM_ADMIN}" was added to "'knoldus1' (knoldus1) {id=3}" in "global" scope by "'vishant' {id=1}"
[2021-04-12 07:55:36,273]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'knoldus2' {id=4}
[2021-04-12 07:55:36,273]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_create: User "'knoldus2' {id=4}" was created by "'knoldus2' {id=4}"
[2021-04-12 07:58:01,864]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_group_create: User group ""knoldus" {key="KNOLDUS"}" was created by "'vishant' {id=1}"
[2021-04-12 07:58:21,251]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_add_to_group: User "'knoldus' (knoldus) {id=2}" was added to ""knoldus" {key="KNOLDUS"}" by "'vishant' {id=1}"
[2021-04-12 08:06:16,659]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_create: Project "Sample Project Maven {id=SampleProjectMaven, internal id=project1}" was created by "'vishant' {id=1}"
[2021-04-12 08:06:16,702]   INFO - s.buildServer.ACTIVITIES.AUDIT - vcs_root_create: VCS root ""https://github.com/web3j/sample-project-maven.git#refs/heads/master" {internal id=1, id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"}" was created by "'vishant' {id=1}" with comment "In project: Sample Project Maven"
[2021-04-12 08:06:16,943]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_create: "Sample Project Maven / Build {id=SampleProjectMaven_Build, internal id=bt1}" was created by "'vishant' {id=1}"
[2021-04-12 08:06:36,304]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Sample Project Maven / Build {id=SampleProjectMaven_Build, internal id=bt1}" build configuration settings were edited ("version before: 1, version after: 2") by "'vishant' {id=1}" with comment "1 build step(s) were added to 'Build' build configuration"
[2021-04-12 08:07:02,158]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=1} was added to queue by "'vishant' {id=1}"
[2021-04-12 08:07:02,294]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=1, configuration={id=SampleProjectMaven_Build, internal id=bt1}, branch=<default>, queued, creatorNodeId="MAIN_SERVER"}, triggered by "'vishant' {id=1}" (##userId='1' type='user')}
