[2021-04-12 07:31:26,474]   INFO [ no auth; http-nio-8111-exec-1] - Successful login for user 'vishant' {id=1} with auth module "Default" for session 4A7E5FB53D... (new, created: 2021-04-12 07:31:26.259, timeout: 3600s) while processing request POST '/createAdminSubmit.html?username1=vishant&submitCreateUser=&publicKey=00b328876c30b08effda265dae514f3fa44bc4d9449fe7fbb0a23df626087ad25a9a6a6524eadbf2f9a12817087d66516798298b739e4bf9b17b87643e8147250dfc742280510c78d13b237c55f48ad398de8098bbbd459a3db90d6b91d48830de93974a3d2725ce8cf6c908414f4661e1d9d51d83f665c55f9bf3106a8d70241b&encryptedPassword1=adc778f38376a9b693d950251377de05820472701b9e853e2835b5005987c85376efa120386ce852523d126ddce3bed017d1beefc738e06f2ea94a384343c9eee84b43df0cf3cf6b59be8...', from client 172.19.0.1:57214, authenticated as 'vishant' {id=1}
[2021-04-12 09:26:18,646]   INFO [no auth; http-nio-8111-exec-10] - Successful login for user 'vishant' {id=1} with auth module "Default" for session C1F1351A5C... (new, created: 2021-04-12 09:26:18.423, timeout: 3600s) while processing request POST '/loginSubmit.html?username=vishant&remember=true&_remember=&submitLogin=Log%20in&publicKey=00c802ab360cf54b77e9fb6cd4b390647bd35dead4733b0f057d2b8b6e98c40687e9ea5fbf28f00af054757dce87ae91119d1ab83ec725b15dc5de9f1b7d79505ea958a06341280b3170cc076aaad05717f29b5c507495c26c4413e9da485490bc8a8ad5fac2f2b497ef7b0cd20d4ac61d6de00785c95b85d08998889c197568d5&encryptedPassword=50776fff364cc5c943c813642b190eea41bace373a5f3bf765ab70648149f6713973e262c8ae0a5a316f0cbef16bffdf53427a08cf960b259b4d67f1f5c24fd8d...', from client 172.18.0.1:43708, authenticated as 'vishant' {id=1}
[2021-04-14 08:31:27,052]   INFO [ no auth; http-nio-8111-exec-4] - Found user 'vishant' {id=1} by RememberMe cookie for request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:45666, no auth
[2021-04-14 08:31:27,053]   INFO [ no auth; http-nio-8111-exec-4] - Successful login for user 'vishant' {id=1} for session 5DA0D6AEE1... (created: 2021-04-14 08:31:27.053, timeout: 3600s) while processing request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:45666, authenticated as 'vishant' {id=1}
[2021-04-14 08:31:27,111]   INFO [ {id=1}; http-nio-8111-exec-10] - CSRF Header X-TC-CSRF-Token does not match CSRF session value f3eeac52-2d02-42df-b43c-41d568be6915, responding with 403 error. Request details: POST '/subscriptions.html?topics=events%2Fo%3B%2Cevents%2Fp%3B%2Cevents%2Fq%3B%2Cevents%2Fw%3B%2Cevents%2FI%3B%2Cevents%2Fa%3Bp%3Aproject1%2Cevents%2Fb%3Bp%3Aproject1%2Cevents%2Fd%3Bp%3Aproject1%2Cevents%2Fc%3Bp%3Aproject1%2Cevents%2Fe%3Bp%3Aproject1%2Cevents%2Fv%3Bp%3Aproject1%2Cevents%2Ft%3Bp%3Aproject1%2Cevents%2Fu%3Bp%3Aproject1%2Cevents%2Fr%3Bp%3Aproject1%2Cevents%2Fs%3Bp%3Aproject1%2Cevents%2Fx%3Bp%3Aproject1%2Cevents%2Fm%3Bp%3Aproject1%2Cevents%2Fl%3Bp%3Aproject1%2Cevents%2Fn%3Bp%3Aproject1%...', from client 172.18.0.1:45666, authenticated as 'vishant' {id=1}
[2021-04-14 08:31:27,635]   INFO [' {id=1}; http-nio-8111-exec-5] - CSRF Header X-TC-CSRF-Token does not match CSRF session value f3eeac52-2d02-42df-b43c-41d568be6915, responding with 403 error. Request details: POST '/subscriptions.html?topics=events%2FH%3B%2CinvestigationsCounter%2F1%2CserverCommands%2Freload', from client 172.18.0.1:45666, authenticated as 'vishant' {id=1}
[2021-04-14 13:12:23,573]   INFO [ no auth; http-nio-8111-exec-1] - Found user 'vishant' {id=1} by RememberMe cookie for request GET '/authenticationTest.html?csrf=', from client 172.18.0.1:48040, no auth
[2021-04-14 13:12:23,577]   INFO [ no auth; http-nio-8111-exec-1] - Successful login for user 'vishant' {id=1} for session 2D6BD659DF... (created: 2021-04-14 13:12:23.576, timeout: 3600s) while processing request GET '/authenticationTest.html?csrf=', from client 172.18.0.1:48040, authenticated as 'vishant' {id=1}
[2021-04-14 15:55:15,210]   INFO [ no auth; http-nio-8111-exec-7] - Found user 'vishant' {id=1} by RememberMe cookie for request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:49272, no auth
[2021-04-14 15:55:15,211]   INFO [ no auth; http-nio-8111-exec-7] - Successful login for user 'vishant' {id=1} for session 85B3F50BA4... (created: 2021-04-14 15:55:15.211, timeout: 3600s) while processing request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:49272, authenticated as 'vishant' {id=1}
[2021-04-14 15:55:15,278]   INFO [' {id=1}; http-nio-8111-exec-8] - CSRF Header X-TC-CSRF-Token does not match CSRF session value 07bfa9d2-de13-44ee-8efe-ba5fcb8957c4, responding with 403 error. Request details: POST '/subscriptions.html?topics=statistics%2Cevents%2FH%3B%2CinvestigationsCounter%2F1%2CserverCommands%2Freload', from client 172.18.0.1:49272, authenticated as 'vishant' {id=1}
[2021-04-15 04:40:51,509]   INFO [ no auth; http-nio-8111-exec-3] - Found user 'vishant' {id=1} by RememberMe cookie for request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:49916, no auth
[2021-04-15 04:40:51,510]   INFO [ no auth; http-nio-8111-exec-3] - Successful login for user 'vishant' {id=1} for session 7312841F8F... (created: 2021-04-15 04:40:51.510, timeout: 3600s) while processing request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:49916, authenticated as 'vishant' {id=1}
[2021-04-15 07:14:03,672]   INFO [ no auth; http-nio-8111-exec-3] - Found user 'vishant' {id=1} by RememberMe cookie for request POST '/subscriptions.html?topics=events%2FH%3B%2CinvestigationsCounter%2F1%2CserverCommands%2Freload%2Cstatistics', from client 172.18.0.1:50784, no auth
[2021-04-15 07:14:03,672]   INFO [ no auth; http-nio-8111-exec-1] - Found user 'vishant' {id=1} by RememberMe cookie for request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:50790, no auth
[2021-04-15 07:14:03,672]   INFO [ no auth; http-nio-8111-exec-3] - Successful login for user 'vishant' {id=1} for session 1D0275F4E7... (created: 2021-04-15 07:14:03.672, timeout: 3600s) while processing request POST '/subscriptions.html?topics=events%2FH%3B%2CinvestigationsCounter%2F1%2CserverCommands%2Freload%2Cstatistics', from client 172.18.0.1:50784, authenticated as 'vishant' {id=1}
[2021-04-15 07:14:03,673]   INFO [ no auth; http-nio-8111-exec-3] - CSRF Header X-TC-CSRF-Token does not match CSRF session value 8df74155-d953-4ea7-a90d-08faf3cc39ef, responding with 403 error. Request details: POST '/subscriptions.html?topics=events%2FH%3B%2CinvestigationsCounter%2F1%2CserverCommands%2Freload%2Cstatistics', from client 172.18.0.1:50784, authenticated as 'vishant' {id=1}
[2021-04-15 07:14:03,674]   INFO [ no auth; http-nio-8111-exec-6] - Found user 'vishant' {id=1} by RememberMe cookie for request GET '/authenticationTest.html?csrf=', from client 172.18.0.1:50778, no auth
[2021-04-15 07:14:03,674]   INFO [ no auth; http-nio-8111-exec-6] - Successful login for user 'vishant' {id=1} for session 0BF92168CB... (created: 2021-04-15 07:14:03.674, timeout: 3600s) while processing request GET '/authenticationTest.html?csrf=', from client 172.18.0.1:50778, authenticated as 'vishant' {id=1}
[2021-04-15 07:14:03,673]   INFO [ no auth; http-nio-8111-exec-1] - Successful login for user 'vishant' {id=1} for session 4F1E19D278... (created: 2021-04-15 07:14:03.672, timeout: 3600s) while processing request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:50790, authenticated as 'vishant' {id=1}
[2021-04-15 18:10:06,051]   INFO [no auth; http-nio-8111-exec-10] - Found user 'vishant' {id=1} by RememberMe cookie for request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:34976, no auth
[2021-04-15 18:10:06,052]   INFO [no auth; http-nio-8111-exec-10] - Successful login for user 'vishant' {id=1} for session 5CF391A642... (created: 2021-04-15 18:10:06.051, timeout: 3600s) while processing request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 172.18.0.1:34976, authenticated as 'vishant' {id=1}
[2021-04-15 18:10:06,157]   INFO [' {id=1}; http-nio-8111-exec-2] - CSRF Header X-TC-CSRF-Token does not match CSRF session value 37cb833b-c552-4d32-8ecc-cf14e02a80d2, responding with 403 error. Request details: POST '/subscriptions.html?topics=events%2Fn%3Bp%3Aproject2%2Cevents%2Fl%3Bp%3Aproject2%2Cevents%2Fm%3Bp%3Aproject2%2Cevents%2Fp%3Bp%3Aproject2%2Cevents%2Fq%3Bp%3Aproject2%2Cevents%2Fs%3Bb%3Abt2%2Cevents%2Fa%3Bb%3Abt2%2Cevents%2Fb%3Bb%3Abt2%2Cevents%2Fc%3Bb%3Abt2%2Cevents%2Fe%3Bb%3Abt2%2Cevents%2Fv%3Bb%3Abt2%2Cevents%2Ft%3Bb%3Abt2%2Cevents%2Fu%3Bb%3Abt2%2Cevents%2Fx%3Bb%3Abt2%2Cevents%2FH%3B%2CinvestigationsCounter%2F1%2CserverCommands%2Freload%2Cstatistics%2Cevents%2FX%3Bb%3Abt2%2Cevents%2Ff%3Bb%3A...', from client 172.18.0.1:34976, authenticated as 'vishant' {id=1}
