[2021-04-12 10:55:14,862]   INFO [ical executor 5] - tbrains.buildServer.VCS_STATES - Collecting changes for VCS root "https://github.com/web3j/sample-project-maven.git#refs/heads/master" {instance id=1, parent internal id=1, parent id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}}, requested by: Periodical run by the schedule
[2021-04-12 10:55:26,538]   INFO [ical executor 5] - tbrains.buildServer.VCS_STATES - Finish collecting changes successfully for VCS root "https://github.com/web3j/sample-project-maven.git#refs/heads/master" {instance id=1, parent internal id=1, parent id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}}; 0 changes collected 0 changes persisted, total time: 11s,677ms, persisting time: 7ms, requested by: Periodical run by the schedule
[2021-04-12 11:36:33,413]   INFO [ical executor 1] - tbrains.buildServer.VCS_STATES - Collecting changes for VCS root "https://github.com/web3j/sample-project-maven.git#refs/heads/master" {instance id=1, parent internal id=1, parent id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}}, requested by: Periodical run by the schedule
[2021-04-12 11:36:33,763]   INFO [ical executor 1] - tbrains.buildServer.VCS_STATES - Finish collecting changes successfully for VCS root "https://github.com/web3j/sample-project-maven.git#refs/heads/master" {instance id=1, parent internal id=1, parent id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}}; 0 changes collected 0 changes persisted, total time: 350ms, persisting time: < 1ms, requested by: Periodical run by the schedule
[2021-04-14 15:56:11,720]   INFO [ical executor 5] - tbrains.buildServer.VCS_STATES - Collecting changes for VCS root "https://github.com/web3j/sample-project-maven.git#refs/heads/master" {instance id=1, parent internal id=1, parent id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}}, requested by: Periodical run by the schedule
[2021-04-14 15:56:11,722]   INFO [ical executor 3] - tbrains.buildServer.VCS_STATES - Collecting changes for VCS root "https://github.com/opstree/spring3hibernate.git#refs/heads/master" {instance id=2, parent internal id=2, parent id=Spring3hibernate_HttpsGithubComOpstreeSpring3hibernateGitRefsHeadsMaster, description: "https://github.com/opstree/spring3hibernate.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 052b7b9860cb94b8b7904562c0d4a6f8991dee99, and 11 more unchanged branches}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 052b7b9860cb94b8b7904562c0d4a6f8991dee99, and 11 more unchanged branches}}, requested by: Periodical run by the schedule
[2021-04-14 15:56:12,170]   INFO [ical executor 5] - tbrains.buildServer.VCS_STATES - Finish collecting changes successfully for VCS root "https://github.com/web3j/sample-project-maven.git#refs/heads/master" {instance id=1, parent internal id=1, parent id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}}; 0 changes collected 0 changes persisted, total time: 450ms, persisting time: < 1ms, requested by: Periodical run by the schedule
[2021-04-14 15:56:17,061]   INFO [ical executor 3] - tbrains.buildServer.VCS_STATES - Finish collecting changes successfully for VCS root "https://github.com/opstree/spring3hibernate.git#refs/heads/master" {instance id=2, parent internal id=2, parent id=Spring3hibernate_HttpsGithubComOpstreeSpring3hibernateGitRefsHeadsMaster, description: "https://github.com/opstree/spring3hibernate.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 052b7b9860cb94b8b7904562c0d4a6f8991dee99, and 11 more unchanged branches}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 052b7b9860cb94b8b7904562c0d4a6f8991dee99, and 11 more unchanged branches}}; 0 changes collected 0 changes persisted, total time: 5s,340ms, persisting time: < 1ms, requested by: Periodical run by the schedule
[2021-04-14 16:08:54,579]   INFO [ical executor 2] - tbrains.buildServer.VCS_STATES - Collecting changes for VCS root "https://github.com/opstree/spring3hibernate.git#refs/heads/master" {instance id=2, parent internal id=2, parent id=Spring3hibernate_HttpsGithubComOpstreeSpring3hibernateGitRefsHeadsMaster, description: "https://github.com/opstree/spring3hibernate.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 052b7b9860cb94b8b7904562c0d4a6f8991dee99, and 11 more unchanged branches}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 052b7b9860cb94b8b7904562c0d4a6f8991dee99, and 11 more unchanged branches}}, requested by: Periodical run by the schedule
[2021-04-14 16:08:54,591]   INFO [ical executor 3] - tbrains.buildServer.VCS_STATES - Collecting changes for VCS root "https://github.com/web3j/sample-project-maven.git#refs/heads/master" {instance id=1, parent internal id=1, parent id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}}, requested by: Periodical run by the schedule
[2021-04-14 16:08:54,987]   INFO [ical executor 3] - tbrains.buildServer.VCS_STATES - Finish collecting changes successfully for VCS root "https://github.com/web3j/sample-project-maven.git#refs/heads/master" {instance id=1, parent internal id=1, parent id=SampleProjectMaven_HttpsGithubComWeb3jSampleProjectMavenGitRefsHeadsMaster, description: "https://github.com/web3j/sample-project-maven.git#refs/heads/master"} from state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}} to state RepositoryState{defaultBranch='refs/heads/master', revisions={refs/heads/master: 15c603992f56585f915e60d7cf2c6e6d613fc122, and 1 more unchanged branch}}; 0 changes collected 0 changes persisted, total time: 396ms, persisting time: < 1ms, requested by: Periodical run by the schedule
